ProductId,Time,Rating,Sentiment Score,Sentiment Label,Summary
P1000-01,2019-07-31,5,0.676449,positive,Beneful Dog Food is all we use
P1000-01,2019-07-23,5,-0.395163,negative,The ONLY dog food our dog will eat!
P1000-01,2019-07-22,4,0.638935,positive,More sugar and salt than peas and carrots
P1000-04,2019-04-23,5,0.500265,positive,Cant say anything that hasnt already been said!
P1000-05,2019-09-02,5,0.387746,positive,Surprise Surprise Surprise
P1000-05,2019-03-22,5,0.621224,positive,Yummy!
P1000-01,2019-08-27,4,-0.794070,negative,"A healthy, well-digesting food that is just a little large for my dogs."
P1000-01,2019-06-04,5,-0.441767,negative,"I tried it and didnt like it, dogs did though."
P1000-01,2019-08-19,5,0.556436,positive,The dog seems to enjoy it
P1000-05,2019-07-03,5,0.675869,positive,Best Coconut Oil
P1000-01,2019-06-07,1,-0.656097,negative,Complete Garbage and Chemicals for your animals - Great marketing with pretty pics of vegetables.
P1000-01,2019-07-28,5,0.749027,positive,Dog food your vet would approve
P1000-05,2019-03-22,5,0.659488,positive,Amazing Skin and Hair Softener!
P1000-05,2019-01-27,4,0.573720,positive,So far so good!
P1000-01,2019-08-12,5,0.600024,positive,Dogs love it. We've switched from Pedigree.
P1000-05,2019-05-13,5,0.919064,positive,great coconut oil and great price!
P1000-02,2019-10-28,1,-0.748235,negative,YUCK! :(
P1000-01,2019-07-25,3,0.493355,positive,I want to like it...
P1000-05,2019-01-15,5,0.570529,positive,Creamiest brand ever
P1000-01,2019-08-20,3,-0.511233,negative,Two Bichons  comment...
P1000-05,2019-01-12,5,0.746873,positive,instant pedicure in a bottle
P1000-01,2019-08-15,3,-0.737492,negative,"OK I guess, but seems costly."
P1000-05,2019-02-14,3,0.580223,positive,Coconut Oil
P1000-04,2019-05-03,5,0.871275,positive,Great for everything!!
P1000-05,2019-05-30,5,0.760975,positive,Coconut Oil
P1000-05,2019-09-05,5,0.788901,positive,I love this stuff!
P1000-01,2019-07-25,4,0.954123,positive,Healthy Dog Food
P1000-05,2019-12-19,4,-0.348918,negative,Great product.
P1000-05,2019-05-18,5,-0.720399,negative,Finally!!! Amazing result!!!
P1000-05,2019-05-24,5,0.771250,positive,Great stuff!
P1000-05,2019-11-08,5,0.809573,positive,Coconut Oil
P1000-01,2019-07-19,1,-0.481483,negative,Multiple species refused to eat this food
P1000-01,2019-10-16,5,0.317227,positive,My dogs were begging for it!
P1000-01,2019-05-21,2,-0.383127,negative,"Dog loves it, price is a bit high, question the quality of ingredients"
P1000-05,2019-05-26,4,0.718015,positive,Coconut oil
P1000-01,2019-04-30,1,0.334751,positive,Horrible food!!
P1000-05,2019-08-02,4,0.898103,positive,Coconut oil
P1000-05,2019-09-17,4,0.827414,positive,"Great for my hair, and cooking!"
P1000-05,2019-06-10,5,0.783068,positive,Great Stuff!
P1000-05,2019-09-17,5,0.706893,positive,Does it all!!
P1000-05,2019-09-08,5,-0.490284,negative,"What ""Extra Virgin"" label  mean for coconut ?????"
P1000-01,2019-07-23,4,0.424555,positive,Dog likes it
P1000-01,2019-07-19,4,0.672798,positive,A favorite in our house
P1000-04,2019-06-24,5,0.361968,positive,Good Taste
P1000-05,2019-08-11,5,0.987410,positive,so good
P1000-01,2019-07-29,5,0.944986,positive,My dogs approve!
P1000-04,2019-05-21,5,0.530388,positive,Well Worth Trying
P1000-05,2019-04-18,5,0.595520,positive,Wonderful
P1000-05,2019-08-19,5,0.873513,positive,Excellent body cream!
P1000-01,2019-07-24,3,-0.284151,negative,"Dog Not a Big Fan, but the Cats Loved It"
P1000-01,2019-06-14,4,0.635951,positive,How to review dog food
P1000-01,2019-07-26,3,0.439581,positive,"Labradoodle & Yorkie both are enjoying this but ingredients are nothing exceptional or ""beneficial"" IMO!"
P1000-04,2019-09-12,4,-0.587654,negative,Coconut oil can seep past the new opaque white plastic Jar.
P1000-04,2019-05-07,5,0.954651,positive,Wonderful!!!!!!!!!
P1000-01,2019-08-15,2,0.672967,positive,Max doesn't care for it
P1000-01,2019-08-27,5,-0.816558,negative,Nice size bag
P1000-05,2019-07-01,5,0.739063,positive,Works magically on hair
P1000-01,2019-07-18,3,-0.340689,negative,"Better than ""Dog Chow"" but not by much"
P1000-04,2019-09-22,5,0.790337,positive,Multi-Use!
P1000-05,2019-08-28,5,0.904618,positive,great for scars
P1000-05,2019-05-21,5,0.909956,positive,Love it!!
P1000-01,2019-09-25,1,0.288750,positive,Great food for dogs who need corn
P1000-05,2019-01-11,5,0.884164,positive,AMAZING
P1000-05,2019-05-23,5,0.786739,positive,great
P1000-04,2019-08-18,5,0.701499,positive,Best ever oil!
P1000-01,2019-08-11,5,0.677782,positive,The Go-to Dog Food for Emmy
P1000-01,2019-08-13,4,0.333178,positive,My Dog Loves This!
P1000-05,2019-05-23,5,0.750806,positive,great to have
P1000-05,2019-02-16,5,0.631711,positive,Absolutely great!!
P1000-01,2019-07-25,5,0.285112,positive,The dog loves it
P1000-01,2019-07-20,4,0.759282,positive,Good basic maintenance dog food
P1000-01,2019-05-22,2,-0.585437,negative,"""Wholesale"" Ingredients... Enough said!"
P1000-04,2019-06-17,5,0.721981,positive,best coconut oil I have found
P1000-04,2019-11-25,4,0.860603,positive,Nice for cooking
P1000-01,2019-05-23,5,0.983622,positive,funny dogs
P1000-05,2019-02-10,5,0.962053,positive,Great buy!
P1000-02,2019-11-24,5,0.897294,positive,didnt use yet
P1000-01,2019-02-25,1,-0.698938,negative,"False Advertising, Terrible Dog Food!!"
P1000-04,2019-08-26,5,0.292348,positive,Great product!!
P1000-01,2019-08-10,4,0.544244,positive,Doggy Loves It!
P1000-01,2019-08-19,4,-0.354137,negative,Most (of my) Dogs Love It!
P1000-02,2019-07-06,5,0.852610,positive,Refreshing for the Afternoon Blahs
P1000-01,2019-08-07,4,-0.626737,negative,"Dogs like it, and it seems to be pretty comparable to similar foods on the market."
P1000-05,2019-08-22,5,0.905923,positive,Organic and Multi-Purpose
P1000-04,2019-08-30,5,0.851317,positive,Great for everything!
P1000-05,2019-10-01,5,0.582171,positive,Love This!
P1000-05,2019-04-07,5,0.712029,positive,"Excellent for skin, hair, and cooking"
P1000-02,2019-08-15,1,-0.352585,negative,"Vending Machine Coffee, dont buy it."
P1000-05,2019-08-07,4,0.661897,positive,Great for homemade baby wipes
P1000-05,2019-06-28,5,-0.786547,negative,Gold in a jar
P1000-01,2019-08-14,5,0.302054,positive,Good budget food....
P1000-04,2019-12-16,5,0.650931,positive,Best coconut oil
P1000-01,2019-08-15,5,0.599751,positive,beef tallow preserved with mixed-tocopherols
P1000-01,2019-08-17,3,-0.389240,negative,Not as well liked by my dogs
P1000-05,2019-09-15,5,0.984418,positive,organic coconut oil
P1000-02,2019-12-08,5,0.915862,positive,It was exactly what I expected.
P1000-05,2019-10-18,5,-0.879824,negative,Lowered my triglycerides
P1000-02,2019-08-07,4,0.892193,positive,Great Cup
P1000-02,2019-09-27,5,0.445646,positive,Best Deal Around
P1000-01,2019-07-25,5,0.664831,positive,Great taste; lost weight.
P1000-02,2019-12-05,1,0.606223,positive,Don't buy it!
P1000-05,2019-07-08,5,0.887948,positive,Great Product!
P1000-05,2019-09-19,5,0.692451,positive,LOVE  LOVE  LOVE
P1000-05,2019-03-21,3,0.771854,positive,coconut oil
P1000-01,2019-08-20,4,0.454626,positive,Our Picky Boy Likes It!!!
P1000-04,2019-04-08,5,0.923111,positive,"GREAT COCONUT OIL....Try it, you'll like it!"
P1000-01,2019-08-15,5,0.644198,positive,"Pets crave it, overall worked well for allergic dogs"
P1000-02,2019-01-19,2,0.429406,positive,Big Dissapointment
P1000-05,2019-06-17,5,0.657977,positive,YUM! All aboard the coconut train!!
P1000-01,2019-07-04,3,0.425944,positive,Dogs Love It But Is It beneficial?
P1000-05,2019-09-12,3,0.698000,positive,is it safe to store oil in BPA bottle?
P1000-05,2019-03-28,5,0.518372,positive,Pure and tasty CoconutOil from Amazon
P1000-05,2019-02-19,4,-0.626597,negative,Delicious and a world of uses!
P1000-05,2019-09-25,5,0.621737,positive,Tastes Good And Is Not Expensive
P1000-05,2019-08-23,5,0.862846,positive,So many uses
P1000-05,2019-04-04,5,0.775743,positive,Very healthy
P1000-05,2019-10-28,5,-0.508541,negative,"BEST OIL FOR BAKING, FRYING, SKIN SOFTENER, OR RIGHT OUT OF THE JAR"
P1000-01,2019-05-21,3,0.361623,positive,"My Dog Likes It, Though Perhaps He Shouldn't."
P1000-01,2019-06-10,3,0.508171,positive,Standard dog food.
P1000-01,2019-07-24,5,-0.702095,negative,Two Paws Up
P1000-04,2019-06-10,5,0.656022,positive,Great product!
P1000-05,2019-09-16,5,0.690479,positive,Smells so GOOD
P1000-01,2019-09-05,4,0.620052,positive,Dogs loved it
P1000-05,2019-10-22,5,0.804084,positive,BEST ORGANIC COCONUT OIL
P1000-05,2019-01-18,5,-0.598026,negative,"High quality, low cost product"
P1000-01,2019-07-24,4,0.768000,positive,4-paws from my dog!!
P1000-01,2019-08-05,4,0.447487,positive,The dogs love it!
P1000-04,2019-03-26,5,0.826630,positive,Great Product
P1000-05,2019-11-21,4,0.642763,positive,Yet another coconut oil review
P1000-04,2019-10-28,5,0.821969,positive,Multi-tasker
P1000-05,2019-07-02,4,-0.289537,negative,Great for protein treatment on hair
P1000-01,2019-08-10,4,0.948577,positive,Beneful
P1000-05,2019-10-04,5,0.662510,positive,Works Wonders for Black Hair
P1000-01,2019-06-02,1,-0.744596,negative,"More expensive than in the stores, not enough nutrition for dogs."
P1000-05,2019-04-14,5,-0.886918,negative,Excellent facial moisturizer
P1000-02,2019-04-11,1,-0.754421,negative,Not sure what to do with remain 52 k-cups :(
P1000-05,2019-08-20,5,0.851626,positive,Good for so many things!!
P1000-01,2019-07-24,5,-0.393533,negative,LOL!!!!!!!!! My CATS are fighting over this one - they believe it's their food!
P1000-05,2019-03-12,5,0.405274,positive,The smell of sunshine and ice-cream!
P1000-05,2019-08-21,5,0.832632,positive,Fantastic
P1000-05,2019-08-23,5,0.787440,positive,I can't buy enough of this stuff. I use it for everything
P1000-05,2019-07-03,5,0.856164,positive,Great product
P1000-01,2019-09-13,5,0.992699,positive,Dog Loves This Food
P1000-04,2019-01-21,5,-0.362133,negative,I love this
P1000-04,2019-11-02,5,0.895244,positive,"Smells good, tastes good! My dog loves it!"
P1000-01,2019-08-17,5,0.959311,positive,My dog loves this food
P1000-01,2019-07-29,5,0.745714,positive,Your Dog Will Love This
P1000-01,2019-07-23,5,0.498752,positive,"*pant, pant* Yeah, we love it.  *pant, pant*"
P1000-05,2019-07-11,5,0.864764,positive,Love it!!!!!!!!!
P1000-01,2019-06-18,2,-0.658401,negative,"My dogs accepted it, but they crapped 10x more."
P1000-05,2019-10-31,5,0.677624,positive,Great
P1000-04,2019-08-17,5,0.517653,positive,Wonderful!!
P1000-04,2019-06-08,5,0.680364,positive,Excellent texture and taste
P1000-01,2019-07-31,4,0.967773,positive,"My dog loves it, and it's not hard on my bank account"
P1000-04,2019-02-21,5,0.635823,positive,PERFECT
P1000-01,2019-09-07,4,-0.255881,negative,No Complaints
P1000-05,2019-07-24,5,0.423218,positive,Hair Revitalizer
P1000-05,2019-05-20,5,0.762626,positive,Awesome conditioner for thick African American hair!
P1000-01,2019-07-24,4,-0.340120,negative,Fred Votes Yes!
P1000-01,2019-08-14,4,0.297516,positive,"Good dog food, but you certainly pay for it!"
P1000-01,2019-08-08,3,0.504586,positive,"Beneful Dog Food Has its Share of the Good, and the Bad"
P1000-01,2019-09-16,5,0.768830,positive,The Dog Loved It!
P1000-05,2019-08-25,5,0.716992,positive,Coocoo for Coconut Oil!
P1000-01,2019-07-24,4,-0.413174,negative,Picky Shih-Tzu eats it mixed with canned food....
P1000-05,2019-08-29,3,0.872772,positive,Very strong coconut flavor
P1000-01,2019-08-15,3,0.588008,positive,Purina Beneful
P1000-01,2019-07-25,4,0.562114,positive,Some good healthy ingredients
P1000-03,2019-03-04,4,-0.530163,negative,Pug loves it...
P1000-02,2019-10-27,5,0.837984,positive,K-cup coffee
P1000-02,2019-12-12,5,0.781123,positive,The best Cappuccino
P1000-03,2019-12-15,5,0.669422,positive,Excellent
P1000-04,2019-12-12,5,0.744141,positive,"MMMM, coconutty!"
P1000-03,2019-07-09,5,-0.450709,negative,2-Dachshunds CHEW PROOF
P1000-04,2019-08-28,5,0.353212,positive,Wonderful
P1000-02,2019-12-12,5,0.469400,positive,Something we agree on!
P1000-03,2019-09-16,5,0.406580,positive,I love this toy...
P1000-04,2019-02-04,5,0.976399,positive,best oil for your body
P1000-03,2019-02-13,5,0.613345,positive,Tug-A-Jug Med/Lg
P1000-03,2019-10-13,3,0.472180,positive,Great toy
P1000-02,2019-10-20,5,0.764054,positive,Really good for what it is
P1000-03,2019-02-21,4,0.663168,positive,Weezer likes it!
P1000-04,2019-02-24,4,0.702352,positive,"Fresh, flavorful, and hexane-free"
P1000-03,2019-01-08,5,-0.548351,negative,Paws Up for this Toy!
P1000-02,2019-12-03,4,-0.312267,negative,Pleasant Surprise!!
P1000-02,2019-10-04,5,0.965404,positive,Awesome product!
P1000-02,2019-12-29,5,0.786680,positive,K-Cups
P1000-03,2019-11-22,5,0.738723,positive,Great Product!
P1000-02,2019-05-30,2,0.683117,positive,Weird aftertaste...
P1000-04,2019-12-03,5,0.728799,positive,Great buy!
P1000-04,2019-05-07,5,-0.332733,negative,Nutiva Coconut Oil is terrific--be careful ordering it from Amazon!
P1000-02,2019-01-22,3,-0.318315,negative,good until the aftertaste
P1000-02,2019-12-15,4,-0.480558,negative,Bit of an aftertaste
P1000-02,2019-11-04,1,-0.468590,negative,Not what you think--taste wise
P1000-02,2019-09-27,5,0.717834,positive,I really like this!
P1000-02,2019-10-25,1,0.254389,positive,Ew.
P1000-04,2019-02-07,5,0.978524,positive,healtthy cooking
P1000-02,2019-10-26,1,-0.835038,negative,Disgusting.
P1000-04,2019-10-09,5,0.668886,positive,A new family favorite!
P1000-04,2019-07-02,5,0.644958,positive,"Excellent, Clean-Tasting Coconut Oil"
P1000-03,2019-07-07,5,-0.581667,negative,Keeps Shih Tzu busy!
P1000-02,2019-09-28,1,-0.546859,negative,Not worth it
P1000-03,2019-08-12,4,-0.410647,negative,"Great fun, has to be on a rug and needs thin treats"
P1000-02,2019-01-05,5,0.840701,positive,delicious!
P1000-04,2019-08-20,5,0.955661,positive,Great Stuff!
P1000-02,2019-12-04,5,0.971324,positive,Great Product
P1000-03,2019-08-15,1,-0.740366,negative,Too fragile...
P1000-03,2019-12-03,2,0.277733,positive,Broke in less than an hour.
P1000-03,2019-02-23,5,-0.724467,negative,Busy Buddy
P1000-02,2019-11-27,1,-0.938869,negative,Cappuccino cups
P1000-01,2019-07-23,5,0.689089,positive,Dogs love it !!!
P1000-03,2019-07-18,5,0.507439,positive,Busy Buddy Tug a Jug
P1000-03,2019-12-19,5,-0.342166,negative,"Challenging, occuping toy--well worth the spend"
P1000-02,2019-08-04,1,0.712183,positive,DO NOT BUY!!!
P1000-04,2019-05-25,5,0.734035,positive,The best
P1000-03,2019-06-10,5,0.880684,positive,My pup is a fan and addict!
P1000-03,2019-05-27,3,0.440669,positive,Love the Idea But Not as Great in Practice for Us
P1000-02,2019-11-02,5,0.688202,positive,This is so much cheaper then getting my cappuccino from the gas station in the mornings!
P1000-04,2019-02-08,5,0.786870,positive,Healthiest fat on the planet.
P1000-03,2019-04-14,5,0.678414,positive,Great challenge for your dog!
P1000-02,2019-08-08,2,0.433473,positive,MILD and Sweet
P1000-04,2019-07-01,5,0.698928,positive,Like it a lot
P1000-04,2019-02-27,4,0.560627,positive,Coconut Oil
P1000-02,2019-10-17,1,-0.578018,negative,Gas station coffee dispenser garbage
P1000-03,2019-07-01,5,0.265348,positive,Great Toy
P1000-02,2019-11-10,5,0.915721,positive,This is delicious!
P1000-03,2019-08-15,5,0.630624,positive,Tug-a-Jug is WONDERFUL!!
P1000-02,2019-07-17,1,-0.563912,negative,Could barely get through 2 sips..
P1000-04,2019-01-13,5,0.710823,positive,Very versatile
P1000-03,2019-09-24,3,-0.360723,negative,Was good for a while
P1000-03,2019-12-13,3,-0.695740,negative,Maybe my dog isn't the brightest....
P1000-03,2019-04-09,4,-0.392820,negative,Not bad!
P1000-04,2019-02-11,5,0.908150,positive,So delicious!
P1000-03,2019-12-26,5,0.923876,positive,Doggy Approved
P1000-03,2019-12-16,5,0.414270,positive,Great Toy But Not Durable Enough
P1000-02,2019-09-06,5,0.981429,positive,"Grove Square Cappuccino Cups, French VanillaI"
P1000-02,2019-09-19,4,0.307818,positive,Good item
P1000-04,2019-02-02,5,0.524718,positive,Love it!
P1000-03,2019-02-28,5,0.666345,positive,Amazing way to provide treats
P1000-02,2019-02-11,1,0.893884,positive,instant coffee powder!!!!!!
P1000-04,2019-02-01,5,0.865673,positive,I love it
P1000-04,2019-03-09,5,0.653278,positive,What to say?
P1000-04,2019-01-30,5,0.533762,positive,AMAZING!!
P1000-03,2019-05-31,5,0.718232,positive,Great busy toy!
P1000-02,2019-08-31,5,0.593885,positive,Great deal
P1000-03,2019-02-22,4,-0.316825,negative,"Be warned, can double as a club when wielded by strong dog."
P1000-02,2019-05-29,4,0.550610,positive,Excellent alternative
P1000-03,2019-05-18,5,0.335115,positive,My Pooch Loves it
P1000-02,2019-01-24,1,0.658812,positive,Non Sequitur - Instant coffee from K-Cup Brewer
P1000-02,2019-11-30,3,0.301908,positive,Good for K-Cup Instant Gratification
P1000-03,2019-07-20,1,0.430590,positive,Dogs are not impressed
P1000-03,2019-07-18,1,0.644739,positive,Not very busy buddy
P1000-04,2019-01-01,5,0.813664,positive,Miracle Oil
P1000-03,2019-12-07,5,0.754751,positive,very engaging!
P1000-03,2019-01-27,5,0.699916,positive,Tug - a - Jug Excellent Product
P1000-03,2019-09-12,5,-0.343326,negative,I love this toy
P1000-03,2019-01-04,5,0.457516,positive,Puppies All Time Favorite Toy
P1000-03,2019-08-15,5,0.789432,positive,Great toy for food driven Labs
P1000-03,2019-12-31,4,-0.501373,negative,I'm Undecided
P1000-04,2019-06-07,5,0.845659,positive,This is What REAL Coconut Oil Should Be
P1000-03,2019-10-23,2,0.706491,positive,Lids break easily
P1000-01,2019-07-25,5,0.342666,positive,Dog loves it
P1000-01,2019-08-20,4,0.279408,positive,Good choice for my dogs...
P1000-05,2019-06-18,5,0.730361,positive,SUPER!
P1000-05,2019-05-02,5,0.722935,positive,"Tasty, health oil."
P1000-05,2019-02-02,5,0.808484,positive,Fantastic!
P1000-04,2019-12-30,5,0.820116,positive,Replacing My Butter
P1000-05,2019-08-25,5,0.984847,positive,yummy - the real thing!
P1000-04,2019-03-10,5,-0.452404,negative,Nutiva Organic Coconut Oil
P1000-05,2019-01-20,5,0.631099,positive,YUM!  AMBROSIA!
P1000-01,2019-09-25,3,0.599606,positive,My go-to brand
P1000-05,2019-07-27,5,0.890489,positive,Bliss in a Jar
P1000-01,2019-08-12,4,0.789447,positive,the dogs like it
P1000-04,2019-06-24,5,0.777892,positive,amazing product
P1000-01,2019-09-30,4,-0.278966,negative,My Dogs Enjoy It
P1000-05,2019-01-27,5,0.553798,positive,Yum!
P1000-04,2019-02-28,5,0.821130,positive,Excellent product!!!
P1000-05,2019-02-21,5,0.641122,positive,CoconUT........
P1000-05,2019-07-13,5,0.823924,positive,Makes everything taste good...
P1000-04,2019-11-27,5,0.788450,positive,Love coconut oil!
P1000-05,2019-09-01,5,0.451437,positive,LOVE IT
P1000-01,2019-08-15,4,0.713357,positive,palate pleasing and nutritious
P1000-05,2019-04-06,5,0.423546,positive,Coconut Oil and HDL
P1000-01,2019-08-14,3,-0.280969,negative,This isn't good dog food. Here are rules for finding one:
P1000-01,2019-09-25,3,0.334492,positive,"No shedding, eats most of the kibbles."
P1000-05,2019-10-05,3,-0.445066,negative,A few probelms
P1000-01,2019-05-25,5,0.461002,positive,Maltese loves it!!!
P1000-03,2019-05-28,4,0.546928,positive,My dog likes it
P1000-04,2019-07-19,5,0.893806,positive,I love this Coconut Oil
P1000-02,2019-12-15,1,0.554818,positive,A K-Cup Really???????????
P1000-02,2019-12-28,5,0.849821,positive,Delicious!
P1000-03,2019-07-10,1,-0.301731,negative,not for chewing puppies!
P1000-02,2019-12-13,4,0.649690,positive,flavor
P1000-03,2019-01-03,5,-0.315463,negative,Very Good
P1000-03,2019-09-05,5,0.585043,positive,Worth every penny!
P1000-04,2019-11-20,5,-0.444493,negative,"10 Ways to Use it; acne treatment, facial scrub, lip balm, nail strengthener etc"
P1000-03,2019-01-03,5,0.528828,positive,Tug-a-jug gets my dog's approval
P1000-04,2019-12-27,5,0.868147,positive,Delicious... love how it smell
P1000-03,2019-05-29,1,-0.773621,negative,Terrible Dog Toy
P1000-03,2019-02-23,4,-0.482304,negative,Keeps dog busy
P1000-02,2019-01-24,5,0.869677,positive,LOVE!!!
P1000-03,2019-08-13,5,0.546960,positive,Great toy to leave with my dog!
P1000-03,2019-09-24,5,0.545630,positive,Love it!
P1000-02,2019-08-09,5,0.980749,positive,delicious
P1000-03,2019-05-16,5,0.319699,positive,Surprised at how much my dog liked this!
P1000-04,2019-09-22,5,0.914189,positive,My skin is happy!
P1000-03,2019-07-05,5,0.836289,positive,"If you love your dog, you will LOVE the Tug-a-Jug!!!"
P1000-02,2019-10-01,2,0.816452,positive,Bootleg Product?
P1000-04,2019-11-29,5,0.902969,positive,Great Stuff
P1000-03,2019-06-21,5,0.327681,positive,This thing is amazing!
P1000-02,2019-02-01,1,-0.440655,negative,Nasty fake sweetener aftertaste
P1000-03,2019-08-15,5,0.363382,positive,Great Toy for a dog that's tough on toys
P1000-02,2019-11-24,1,-0.760871,negative,total crap
P1000-03,2019-03-21,5,0.616789,positive,Lab puppy loves this
P1000-02,2019-10-03,5,0.778750,positive,Great Flavorl! Great Price!
P1000-04,2019-12-12,4,0.316863,positive,Coconut Oil
P1000-04,2019-10-20,5,0.545703,positive,Best EVCO available!
P1000-03,2019-05-04,5,0.346872,positive,Love it! Best toy yet.
P1000-02,2019-08-27,5,0.878120,positive,Gas Station Coffee? Yep.
P1000-01,2019-07-29,3,0.464706,positive,It is better than most but not as good as some
P1000-04,2019-05-09,5,0.659468,positive,Love this coconut oil
P1000-03,2019-12-05,5,-0.531342,negative,The Forever Toy
P1000-03,2019-10-20,4,-0.433354,negative,Keeps my big Dog busy for a long time!
P1000-03,2019-04-03,5,-0.346568,negative,"Just a Jug, No Tug"
P1000-02,2019-03-23,1,0.545805,positive,Not even close to Cappuccino
P1000-02,2019-11-28,5,-0.934854,negative,Great Cappuccino
P1000-03,2019-12-05,4,0.357099,positive,"One dog loves it, the other couldn't figure it out!"
P1000-02,2019-12-12,1,-0.963437,negative,Burnt tasting garbage
P1000-03,2019-09-27,1,-0.351188,negative,Not for a medium chewer!
P1000-03,2019-01-09,2,-0.547040,negative,Boisterous but not busy
P1000-02,2019-09-16,5,0.712829,positive,excellent
P1000-03,2019-03-15,5,0.673235,positive,My dog loves this thing
P1000-04,2019-02-13,5,0.893932,positive,Can be used for everything!!
